Block Index,Ref Block Index,Participant,Date,Score,Social Knowledge Building,Initial Text,Processed Text
0,,corina-forum,Thu Jan 01 11:45:06 EET 1970,0.0,0.0,Hello,.
1,,Mona-chat,Thu Jan 01 11:45:08 EET 1970,0.020486205831087435,0.0,Hello Corina!. Hello Diana!. Hello Christi!,corina. diana. christi.
2,,diana-wiki,Thu Jan 01 11:45:37 EET 1970,0.0,0.0,Hello :),.
3,1,cristi-wave,Thu Jan 01 11:46:08 EET 1970,0.0,0.0,Hello,.
4,,stefan-blog,Thu Jan 01 11:46:38 EET 1970,0.0,0.0,Hello,.
5,4,Mona-chat,Thu Jan 01 11:46:45 EET 1970,5.547613745541752,0.0,Hello Stefan!. So.... everybody is here..... First of all I think we should talk a little about the workflow of our conversion. What kind of company are we?,stefan. . . think talk little workflow conversion. kind company.
6,5,cristi-wave,Thu Jan 01 11:48:16 EET 1970,2.4562566228916602,1.5182060303438172,We are supposed to be in company right ? . *a,suppose company right. .
7,6,corina-forum,Thu Jan 01 11:48:34 EET 1970,2.5609607455924928,2.75953866732734,I think so,think.
8,5,Mona-chat,Thu Jan 01 11:48:59 EET 1970,3.082926074177643,2.566740376683952,I was thinking of something related to IT,think relate.
9,5,stefan-blog,Thu Jan 01 11:49:04 EET 1970,1.7880543629780121,0.3899891736964625,We have to implement a communication solution,implement communication solution.
10,5,diana-wiki,Thu Jan 01 11:49:25 EET 1970,4.2119728924775,8.354460158357233,I don't think this is very important,think important.
11,10,stefan-blog,Thu Jan 01 11:49:35 EET 1970,1.3928407482229554,0.2836569856736721,I agree,agree.
12,9,corina-forum,Thu Jan 01 11:49:45 EET 1970,2.74524504545892,2.1859808633008133,So we don't need a company...,need company.
13,,diana-wiki,Thu Jan 01 11:49:49 EET 1970,1.0505532858481132,0.15219428520455527,Maybe it should be in general,maybe general.
14,13,Mona-chat,Thu Jan 01 11:49:56 EET 1970,1.184387259684958,1.6543880692028303,OK.... so we are just a company....,okay. company.
15,14,diana-wiki,Thu Jan 01 11:50:30 EET 1970,4.008467422688881,0.6952303915948587, and we have to decide which of the 5 concepts are better for us,decide concept good.
16,15,cristi-wave,Thu Jan 01 11:50:56 EET 1970,0.9849200639219454,0.2193028700919526,Right,right.
17,15,Mona-chat,Thu Jan 01 11:50:58 EET 1970,8.932055393132599,18.412219476383303,Let's think OD some activities... and then decide which technology is better,let think od activity decide technology good.
18,,stefan-blog,Thu Jan 01 11:51:12 EET 1970,4.036345527064466,13.023338808501016,As we previously disclosed I think a combination of them should be perfect,previously disclose think combination perfect.
19,18,diana-wiki,Thu Jan 01 11:51:31 EET 1970,4.036155666604717,13.05018303011003,OK...but let's think again,okay let think.
20,18,diana-wiki,Thu Jan 01 11:51:39 EET 1970,1.0949817911453539,2.6966373487276245,We are a company now :),company.
21,18,Mona-chat,Thu Jan 01 11:52:02 EET 1970,5.864464047364722,9.733010227073349,Of course... we will be using all the 5 technologies.... but first we have to think of some activities...,course use technology. think activity.
22,18,corina-forum,Thu Jan 01 11:52:36 EET 1970,1.0931576682861877,0.26523881540032873,It depends...,depend.
23,,stefan-blog,Thu Jan 01 11:52:43 EET 1970,5.303773961174445,22.84577937793217,I think we should have a server which has support and logging for all kinds of concepts,think server support log kind concept.
24,21,diana-wiki,Thu Jan 01 11:52:54 EET 1970,7.058555000996138,25.638033453962088,I think that is very important to be good at what we are doing so first we should be well-informed,think important good.
25,21,cristi-wave,Thu Jan 01 11:53:10 EET 1970,7.504804477202317,27.024950625138896,Yes...we should think of some activities ... like a board meeting where some of us can't be there ...what tech should I use ?,think activity board meet tech use.
26,,stefan-blog,Thu Jan 01 11:53:19 EET 1970,3.502045007743122,1.3409719731143293,For example if an employee has a great solution he should blog it,example employee great solution blog.
27,25,Mona-chat,Thu Jan 01 11:53:46 EET 1970,8.413617282994784,39.11912597997273,I think chat is the best solution for a board meeting,think chat good solution board meet.
28,26,corina-forum,Thu Jan 01 11:53:56 EET 1970,4.099876288150772,12.997033161537685,Or if we are searching for a solution we should make a topic about it on the forum :P,search solution make topic forum.
29,26,diana-wiki,Thu Jan 01 11:53:57 EET 1970,2.1835709637937457,0.6777143833041722,True or we can edit a page on Wikipedia,true edit page wikipedia.
30,27,stefan-blog,Thu Jan 01 11:54:09 EET 1970,0.5277565013985505,0.06608056880885699,And if it is a “public” one should be logged,public log.
31,27,stefan-blog,Thu Jan 01 11:54:29 EET 1970,2.2317664984619503,0.868261834389237,if it is important it should be private. Or visible to the board,important private. visible board.
32,31,corina-forum,Thu Jan 01 11:54:53 EET 1970,2.0685278976177166,0.868431900082088,Then the forum is the solution! Some topics are private.,forum solution. topic private.
33,32,stefan-blog,Thu Jan 01 11:55:27 EET 1970,3.903330271557091,0.8833600267926806,Yes. But forum should be updated real time. By itself,. forum update real time. .
34,33,corina-forum,Thu Jan 01 11:55:45 EET 1970,3.352898385434629,16.321371175359083,And you think blog is the solution then?,think blog solution.
35,32,diana-wiki,Thu Jan 01 11:55:46 EET 1970,3.5121066846449462,8.841406337732128,But you can't be sure that the solutions are correct because they are written by a single person,sure solution correct write single person.
36,27,cristi-wave,Thu Jan 01 11:55:57 EET 1970,2.5526888184428502,0.7383717495647865,Wave has a presentation template where video chat is included .with multiple features,wave presentation template video chat include. multiple feature.
37,32,Mona-chat,Thu Jan 01 11:56:04 EET 1970,11.179692810897913,54.95525739709653,I think forum is the best solution for answering questions coming from our customers,think forum good solution answer question come customer.
38,35,corina-forum,Thu Jan 01 11:56:06 EET 1970,0.6818069106507916,0.1171870118348368,It's a forum you can reply...,forum reply.
39,36,diana-wiki,Thu Jan 01 11:56:21 EET 1970,6.142378485847556,13.146149419357718,This sound really good for a board meeting,sound really good board meet.
40,37,cristi-wave,Thu Jan 01 11:56:33 EET 1970,2.683019165671016,1.2672688922970772,Not if our customer require a fast response,customer require fast response.
41,36,stefan-blog,Thu Jan 01 11:56:48 EET 1970,8.811437365067233,46.83322230430417,I think a video chat isn't so good because you can't see previous statements,think video chat good see previous statement.
42,41,diana-wiki,Thu Jan 01 11:57:05 EET 1970,3.240862494196045,1.1990441554498865,But it is really important when someone is missing,really important miss.
43,36,corina-forum,Thu Jan 01 11:57:21 EET 1970,4.939955413282811,19.328191187629905,I think video chat is awesome for a meeting,think video chat awesome meet.
44,41,corina-forum,Thu Jan 01 11:57:40 EET 1970,2.7363865910646963,1.5026344698301937,Do you need previous statements?,need previous statement.
45,41,diana-wiki,Thu Jan 01 11:57:43 EET 1970,3.8015912246269634,13.847266354325956,I don't think that there is something that can replace a video chat,think replace video chat.
46,43,Mona-chat,Thu Jan 01 11:57:47 EET 1970,2.934842773700217,6.791084618634468,Yes.... I am also for video chat. It's the closest thing to a face-to-face meeting,. video chat. close thing meet.
47,46,cristi-wave,Thu Jan 01 11:58:31 EET 1970,6.621730385213955,11.035802480157447,A video chat with possibility to draw in real time some charts for example ... here wave is very helpful,video chat possibility draw real time chart example wave helpful.
48,47,corina-forum,Thu Jan 01 11:59:27 EET 1970,6.472837235391717,18.187616167636584,I agree.for meetings using wave it's the best solution,meeting use wave good solution.
49,48,Mona-chat,Thu Jan 01 11:59:43 EET 1970,5.2797303567923155,18.931811024933964,And if you do not have a good internet connection classic chat could also be a solution...,good internet connection classic chat solution.
50,49,cristi-wave,Thu Jan 01 12:00:11 EET 1970,3.21375816780339,1.0552834106876343,Agree...video chat requires some bandwidth,agree video chat require bandwidth.
51,47,diana-wiki,Thu Jan 01 12:00:37 EET 1970,5.813934525417218,12.379218198915574,OK...but what about information what do you think it is the most reliable source of information?,okay information think reliable source information.
52,,Mona-chat,Thu Jan 01 12:00:39 EET 1970,8.239972822590387,31.317736680002735,Chat is fast simple to use and it does not require such a good internet connection,chat fast simple use require good internet connection.
53,47,stefan-blog,Thu Jan 01 12:00:42 EET 1970,4.117786157558442,15.94496100386704,if it is an inside network I don't think this should be a problem,network think problem.
54,49,corina-forum,Thu Jan 01 12:00:54 EET 1970,5.6636850572102375,19.644257791478495,Well depends on the type of the meeting...,good depend type meet.
55,53,Mona-chat,Thu Jan 01 12:01:05 EET 1970,1.8045176632114595,0.870451767227582,What do you mean by inside network?. In the same building?,mean network. build.
